ID,Sex,Length(mm),Diameter(mm),Height(mm),Whole weight(g),Shucked weight(g),Viscera weight(g),Shell weight(g)
69,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49
70,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235
71,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235
72,I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08
73,M,0.635,0.525,0.16,1.195,0.5435,0.246,0.335
74,M,0.565,0.47,0.195,1.142,0.387,0.258,0.35
75,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
76,I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05
77,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07
78,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125
79,M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395
80,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32
81,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13
82,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277
83,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135
84,I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09
85,I,0.475,0.375,0.11,0.494,0.211,0.109,0.1545
86,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
87,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28
88,F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175
89,M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245
90,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51
91,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
92,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065
93,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24
94,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018
95,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324
96,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
97,M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805
98,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815
99,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135
100,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075
101,I,0.5,0.38,0.11,0.5605,0.28,0.106,0.15
102,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62
103,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145
104,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11
105,I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335
106,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
107,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143
108,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
109,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935
110,F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
111,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115
112,M,0.395,0.28,0.08,0.266,0.0995,0.066,0.09
113,I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065
114,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09
115,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505
116,M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
117,I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075
118,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34
119,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033
120,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285
121,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
122,M,0.685,0.53,0.17,1.56,0.647,0.383,0.465
123,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401
124,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34
125,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315
126,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
127,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127
128,I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05
129,F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405
130,M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22
131,I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035
132,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141
133,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715
134,F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14
135,I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615
136,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255
137,M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339
138,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195
139,I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075
140,I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18
141,F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279
142,F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195
143,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205
144,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314
145,M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146
146,M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555
147,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
148,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295
149,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505
150,I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
151,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
152,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
153,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43
154,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396
155,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096
156,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435
157,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17
158,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132
159,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625
160,I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09
161,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
162,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
163,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136
164,M,0.59,0.47,0.15,0.861,0.413,0.164,0.249
165,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
166,M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194
167,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274
168,M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285
169,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185
170,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165
171,M,0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315
172,F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2
173,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17
174,M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335
175,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
176,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146
177,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27
178,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815
179,I,0.405,0.3,0.09,0.269,0.103,0.067,0.11
180,I,0.55,0.425,0.135,0.656,0.257,0.17,0.203
181,F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431
182,I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995
183,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
184,M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048
185,M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01
186,F,0.57,0.47,0.14,0.871,0.385,0.211,0.2315
187,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
188,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274
189,M,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371
190,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21
191,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48
192,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3
193,M,0.76,0.605,0.215,2.173,0.801,0.4915,0.646
194,M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28
195,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
196,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125
197,I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16
198,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38
199,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198
200,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354
201,F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21
202,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07
203,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995
204,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
205,F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193
206,F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845
207,F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38
208,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066
209,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29
210,M,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755
211,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398
212,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185
213,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875
214,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
215,M,0.425,0.34,0.12,0.388,0.149,0.087,0.125
216,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07
217,F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225
218,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185
219,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
220,I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093
221,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725
222,I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925
223,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277
224,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125
225,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119
226,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358
227,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497
228,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075
229,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735
230,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425
231,F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39
232,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155
233,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325
234,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055
235,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095
236,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32
237,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09
238,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287
239,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3
240,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266
241,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07
242,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
243,I,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055
244,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315
245,I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755
246,F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71
247,F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415
248,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35
249,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292
250,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515
251,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
252,F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835
253,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405
254,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113
255,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
256,I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305
257,M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125
258,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745
259,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005
260,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745
261,F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
262,I,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25
263,F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271
264,F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325
265,M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565
266,M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33
267,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665
268,F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465
269,F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461
270,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
271,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
272,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4
273,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415
274,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296
275,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.404
276,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
277,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455
278,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315
279,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39
280,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275
281,I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079
282,I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625
283,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725
284,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585
285,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274
286,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45
287,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295
288,I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425
289,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215
290,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195
291,M,0.5,0.4,0.13,0.7715,0.37,0.16,0.211
292,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215
293,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245
294,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195
295,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245
296,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525
297,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119
298,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239
299,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37
300,I,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695
301,I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965
302,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19
303,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155
304,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278
305,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53
306,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12
307,F,0.61,0.47,0.145,1.153,0.403,0.296,0.32
308,M,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325
309,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
310,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205
311,F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605
312,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
313,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385
314,F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43
315,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134
316,F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265
317,F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32
318,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395
319,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158
320,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
321,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735
322,F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19
323,F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39
324,F,0.675,0.55,0.175,1.689,0.694,0.371,0.474
325,F,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985
326,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482
327,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095
328,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
329,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
330,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385
331,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515
332,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315
333,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15
334,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765
335,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292
336,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142
337,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14
338,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895
339,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27
340,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
341,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14
342,M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228
343,M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685
344,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09
345,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16
346,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565
347,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03
348,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045
349,F,0.68,0.505,0.17,1.3435,0.657,0.297,0.355
350,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815
351,M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53
352,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074
353,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056
354,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075
355,I,0.4,0.31,0.1,0.127,0.106,0.071,0.085
356,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038
357,M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265
358,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15
359,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175
360,I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16
361,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225
362,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405
363,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28
364,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075
365,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965
366,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265
367,I,0.275,0.205,0.065,0.101,0.041,0.021,0.034
368,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01
369,M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945
370,F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295
371,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
372,F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385
373,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077
374,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638
375,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575
376,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
377,M,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265
378,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165
379,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405
380,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15
381,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405
382,I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046
383,I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815
384,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239
385,I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615
386,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145
387,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185
388,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245
389,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205
390,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344
391,I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25
392,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41
393,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
394,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055
395,I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03
396,M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225
397,I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07
398,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158
399,M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355
400,M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563
401,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
402,I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12
403,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505
404,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
405,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067
406,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38
407,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045
408,I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035
409,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48
410,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204
411,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
